title,link,published,thumbnail,location,summary,source
Bergen County Students Honored with Kindness Award - RLS Media,https://news.google.com/rss/articles/CBMiI2h0dHBzOi8vd3d3LnJsc21lZGlhLmNvbS9ub2RlLzU2Njky0gEA?oc=5,2024-06-09 09:14:26,https://www.rlsmedia.com/sites/default/files/styles/og_image/public/field/image/article/IMG_4928.jpeg?h=8f74817f&itok=uJmc3Yz8,"(40.8860164, -74.0072568)","<a href=""https://news.google.com/rss/articles/CBMiI2h0dHBzOi8vd3d3LnJsc21lZGlhLmNvbS9ub2RlLzU2Njky0gEA?oc=5"" target=""_blank"">Bergen County Students Honored with Kindness Award</a>&nbsp;&nbsp;<font color=""#6f6f6f"">RLS Media</font>",Google News
"MY TURN: Tribe exemplifies 'kindness, generosity and stewardship' - Coeur d'Alene Press",https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vY2RhcHJlc3MuY29tL25ld3MvMjAyNC9qdW4vMDUvbXktdHVybi_SAQA?oc=5,2024-06-05 08:00:00,https://hagadone.media.clients.ellingtoncms.com/img/photos/2023/11/21/Ron_Jacobson_r1200x630.png?b7d505e466ff31ef2a911eceee85296b69915698,"(47.6742994, -116.7811531)","<a href=""https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vY2RhcHJlc3MuY29tL25ld3MvMjAyNC9qdW4vMDUvbXktdHVybi_SAQA?oc=5"" target=""_blank"">MY TURN: Tribe exemplifies 'kindness, generosity and stewardship'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Coeur d'Alene Press</font>",Google News
"Remembering a baby, gone too soon, through random acts of kindness - WBAY",https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LndiYXkuY29tLzIwMjQvMDYvMDUvcmVtZW1iZXJpbmctYmFieS1nb25lLXRvby1zb29uLXRocm91Z2gtcmFuZG9tLWFjdHMta2luZG5lc3Mv0gFraHR0cHM6Ly93d3cud2JheS5jb20vMjAyNC8wNi8wNS9yZW1lbWJlcmluZy1iYWJ5LWdvbmUtdG9vLXNvb24tdGhyb3VnaC1yYW5kb20tYWN0cy1raW5kbmVzcy8_b3V0cHV0VHlwZT1hbXA?oc=5,2024-06-05 23:36:00,https://gray-wbay-prod.cdn.arcpublishing.com/resizer/v2/FYPLJWB7H5AXPDE6RZHXEALWHA.jpg?auth=159a871f9646222736805c41aaeae4e890cf1b63a3ab576e9ede00a9483571e3&width=1200&height=600&smart=true,"(44.4308975, -89.6884637)","<a href=""https://news.google.com/rss/articles/CBMiXGh0dHBzOi8vd3d3LndiYXkuY29tLzIwMjQvMDYvMDUvcmVtZW1iZXJpbmctYmFieS1nb25lLXRvby1zb29uLXRocm91Z2gtcmFuZG9tLWFjdHMta2luZG5lc3Mv0gFraHR0cHM6Ly93d3cud2JheS5jb20vMjAyNC8wNi8wNS9yZW1lbWJlcmluZy1iYWJ5LWdvbmUtdG9vLXNvb24tdGhyb3VnaC1yYW5kb20tYWN0cy1raW5kbmVzcy8_b3V0cHV0VHlwZT1hbXA?oc=5"" target=""_blank"">Remembering a baby, gone too soon, through random acts of kindness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WBAY</font>",Google News
Jennifer Garner works with paparazzo to create an act of kindness for homeless man - Upworthy,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnVwd29ydGh5LmNvbS9qZW5uaWZlci1nYXJuZXItd29ya3Mtd2l0aC1wYXBhcmF6em8tdG8tY3JlYXRlLWFuLWFjdC1vZi1raW5kbmVzcy1mb3ItaG9tZWxlc3MtbWFuLXJwM9IBfmh0dHBzOi8vd3d3LnVwd29ydGh5LmNvbS9hbXAvamVubmlmZXItZ2FybmVyLXdvcmtzLXdpdGgtcGFwYXJhenpvLXRvLWNyZWF0ZS1hbi1hY3Qtb2Yta2luZG5lc3MtZm9yLWhvbWVsZXNzLW1hbi1ycDMtMjY2NTcxOTQzNw?oc=5,2024-06-08 21:00:00,https://assets.rebelmouse.io/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJpbWFnZSI6Imh0dHBzOi8vYXNzZXRzLnJibC5tcy80MzUwOTIwNC9vcmlnaW4ucG5nIiwiZXhwaXJlc19hdCI6MTc2MjQ3NDkxMH0.FM2RgRWvSEkXuRmdGO8RaqF6YHwRc_jZREM2-3MpAbc/img.png?width=1200&height=600&coordinates=0%2C10%2C0%2C76,"(34.0194704, -118.491227)","<a href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vd3d3LnVwd29ydGh5LmNvbS9qZW5uaWZlci1nYXJuZXItd29ya3Mtd2l0aC1wYXBhcmF6em8tdG8tY3JlYXRlLWFuLWFjdC1vZi1raW5kbmVzcy1mb3ItaG9tZWxlc3MtbWFuLXJwM9IBfmh0dHBzOi8vd3d3LnVwd29ydGh5LmNvbS9hbXAvamVubmlmZXItZ2FybmVyLXdvcmtzLXdpdGgtcGFwYXJhenpvLXRvLWNyZWF0ZS1hbi1hY3Qtb2Yta2luZG5lc3MtZm9yLWhvbWVsZXNzLW1hbi1ycDMtMjY2NTcxOTQzNw?oc=5"" target=""_blank"">Jennifer Garner works with paparazzo to create an act of kindness for homeless man</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upworthy</font>",Google News
"Rolling Hills: Make Sushi, Make Friends - A Cup Of Kindness Mission Guide - GameRant",https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vZ2FtZXJhbnQuY29tL3JvbGxpbmctaGlsbHMtbWFrZS1zdXNoaS1mcmllbmRzLWN1cC1vZi1raW5kbmVzcy1taXNzaW9uLWd1aWRlL9IBAA?oc=5,2024-06-06 10:47:00,C:/Users/Mikael Lemieux/Documents/Scripts/Curling_Scripts/Imagery/Curling News.png,,"<a href=""https://news.google.com/rss/articles/CBMiVGh0dHBzOi8vZ2FtZXJhbnQuY29tL3JvbGxpbmctaGlsbHMtbWFrZS1zdXNoaS1mcmllbmRzLWN1cC1vZi1raW5kbmVzcy1taXNzaW9uLWd1aWRlL9IBAA?oc=5"" target=""_blank"">Rolling Hills: Make Sushi, Make Friends - A Cup Of Kindness Mission Guide</a>&nbsp;&nbsp;<font color=""#6f6f6f"">GameRant</font>",Google News
Grayson Murray is remembered for his kindness during a player ceremony at the Memorial - The Associated Press,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2dyYXlzb24tbXVycmF5LW1lbW9yaWFsLW1vbmFoYW4tc2NoZWZmbGVyLTdjZTMwYzBmYWZhMGU5ZGEyMDQ1ZmFiNzcwOThiMTY30gEA?oc=5,2024-06-04 15:29:00,https://dims.apnews.com/dims4/default/b62ec45/2147483647/strip/true/crop/3307x1860+45+0/resize/1440x810!/quality/90/?url=https%3A%2F%2Fassets.apnews.com%2F4d%2F2d%2Fe4bec797be6a58a270d32ee3f5b8%2F188378c721dc434cb0d48384452acec9,"(32.753177, -97.3327459)","<a href=""https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vYXBuZXdzLmNvbS9hcnRpY2xlL2dyYXlzb24tbXVycmF5LW1lbW9yaWFsLW1vbmFoYW4tc2NoZWZmbGVyLTdjZTMwYzBmYWZhMGU5ZGEyMDQ1ZmFiNzcwOThiMTY30gEA?oc=5"" target=""_blank"">Grayson Murray is remembered for his kindness during a player ceremony at the Memorial</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Associated Press</font>",Google News
CES spreads kindness | News | myeasternshoremd.com - MyEasternShoreMD,https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3Lm15ZWFzdGVybnNob3JlbWQuY29tL3FhL2NvbW11bml0eS9uZXdzL2Nlcy1zcHJlYWRzLWtpbmRuZXNzL2FydGljbGVfNmMxZGY0YTAtMjM4Ni0xMWVmLWIwZGMtNGJlNTRkNDIzN2IwLmh0bWzSAQA?oc=5,2024-06-07 21:56:00,https://bloximages.chicago2.vip.townnews.com/myeasternshoremd.com/content/tncms/assets/v3/editorial/6/a1/6a17ba62-238e-11ef-be9a-2fdc6f64ab6f/6660ec6463ec4.image.jpg?crop=1247%2C655%2C0%2C504&resize=1200%2C630&order=crop%2Cresize,"(39.7837304, -100.445882)","<a href=""https://news.google.com/rss/articles/CBMieWh0dHBzOi8vd3d3Lm15ZWFzdGVybnNob3JlbWQuY29tL3FhL2NvbW11bml0eS9uZXdzL2Nlcy1zcHJlYWRzLWtpbmRuZXNzL2FydGljbGVfNmMxZGY0YTAtMjM4Ni0xMWVmLWIwZGMtNGJlNTRkNDIzN2IwLmh0bWzSAQA?oc=5"" target=""_blank"">CES spreads kindness | News | myeasternshoremd.com</a>&nbsp;&nbsp;<font color=""#6f6f6f"">MyEasternShoreMD</font>",Google News
Operation Kindness Annual Kitten Shower Brings Joy and Support to Furry Friends - Hernando Sun,https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3Lmhlcm5hbmRvc3VuLmNvbS8yMDI0LzA2LzA3L29wZXJhdGlvbi1raW5kbmVzcy1hbm51YWwta2l0dGVuLXNob3dlci1icmluZ3Mtam95LWFuZC1zdXBwb3J0LXRvLWZ1cnJ5LWZyaWVuZHMv0gEA?oc=5,2024-06-08 00:10:37,https://www.hernandosun.com/wp-content/uploads/2024/06/pexels-snapwire-46024-scaled.jpg,"(38.6830248, -112.4107691)","<a href=""https://news.google.com/rss/articles/CBMid2h0dHBzOi8vd3d3Lmhlcm5hbmRvc3VuLmNvbS8yMDI0LzA2LzA3L29wZXJhdGlvbi1raW5kbmVzcy1hbm51YWwta2l0dGVuLXNob3dlci1icmluZ3Mtam95LWFuZC1zdXBwb3J0LXRvLWZ1cnJ5LWZyaWVuZHMv0gEA?oc=5"" target=""_blank"">Operation Kindness Annual Kitten Shower Brings Joy and Support to Furry Friends</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Hernando Sun</font>",Google News
Highlighting acts of kindness - Simi Valley Acorn,https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LnNpbWl2YWxsZXlhY29ybi5jb20vYXJ0aWNsZXMvaGlnaGxpZ2h0aW5nLWFjdHMtb2Yta2luZG5lc3Mv0gEA?oc=5,2024-06-07 19:11:30,C:/Users/Mikael Lemieux/Documents/Scripts/Curling_Scripts/Imagery/Curling News.png,"(34.4458248, -119.0779359)","<a href=""https://news.google.com/rss/articles/CBMiR2h0dHBzOi8vd3d3LnNpbWl2YWxsZXlhY29ybi5jb20vYXJ0aWNsZXMvaGlnaGxpZ2h0aW5nLWFjdHMtb2Yta2luZG5lc3Mv0gEA?oc=5"" target=""_blank"">Highlighting acts of kindness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Simi Valley Acorn</font>",Google News
"'Kinds of Kindness' Trailer, Cast, and Everything We Know - Vulture",https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnZ1bHR1cmUuY29tL2FydGljbGUva2luZC1vZi1raW5kbmVzcy1jYXN0LXRyYWlsZXItcmVsZWFzZS1kYXRlLmh0bWzSAQA?oc=5,2024-05-29 07:00:00,https://pyxis.nymag.com/v1/imgs/40a/f57/d6aa959ab41a7762e4fb582bd2dcb57114-001-latimes-exclusive-002-and-20221128-0.1x.rsocial.w1200.jpg,"(51.682949, -116.0355377)","<a href=""https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vd3d3LnZ1bHR1cmUuY29tL2FydGljbGUva2luZC1vZi1raW5kbmVzcy1jYXN0LXRyYWlsZXItcmVsZWFzZS1kYXRlLmh0bWzSAQA?oc=5"" target=""_blank"">'Kinds of Kindness' Trailer, Cast, and Everything We Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Vulture</font>",Google News
Unidentified neighbor makes overwhelmed student's day with unexpected act of kindness - Upworthy,https://news.google.com/rss/articles/CBMib2h0dHBzOi8vc2Nvb3AudXB3b3J0aHkuY29tL3VuaWRlbnRpZmllZC1uZWlnaGJvci1tYWtlcy1vdmVyd2hlbG1lZC1zdHVkZW50cy1kYXktd2l0aC11bmV4cGVjdGVkLWFjdC1vZi1raW5kbmVzc9IBAA?oc=5,2024-06-07 18:44:13,https://d34zrgnx1tq8w.cloudfront.net/696257/uploads/1669f8e0-1d8e-11ef-8c9e-8f52f6920da4_1200_630.jpeg,,"<a href=""https://news.google.com/rss/articles/CBMib2h0dHBzOi8vc2Nvb3AudXB3b3J0aHkuY29tL3VuaWRlbnRpZmllZC1uZWlnaGJvci1tYWtlcy1vdmVyd2hlbG1lZC1zdHVkZW50cy1kYXktd2l0aC11bmV4cGVjdGVkLWFjdC1vZi1raW5kbmVzc9IBAA?oc=5"" target=""_blank"">Unidentified neighbor makes overwhelmed student's day with unexpected act of kindness</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Upworthy</font>",Google News
CWS Sanitation Truck driver spreads kindness throughout Lexington - WIS News 10,https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3Lndpc3R2LmNvbS92aWRlby8yMDI0LzA2LzA2L2N3cy1zYW5pdGF0aW9uLXRydWNrLWRyaXZlci1zcHJlYWRzLWtpbmRuZXNzLXRocm91Z2hvdXQtbGV4aW5ndG9uL9IBAA?oc=5,2024-06-06 10:48:00,https://gray-wistv-prod.cdn.arcpublishing.com/resizer/v2/https%3A%2F%2Fdo0bihdskp9dy.cloudfront.net%2F06-06-2024%2Ft_da883094a8d94987a9274d294b950e78_name_file_1280x720_2000_v3_1_.jpg?auth=899b11abe327c18a4a3ceda0ed4ac9f2885fab9271940654ab4496d5d63c8349&width=1200&height=600&smart=true,,"<a href=""https://news.google.com/rss/articles/CBMiaWh0dHBzOi8vd3d3Lndpc3R2LmNvbS92aWRlby8yMDI0LzA2LzA2L2N3cy1zYW5pdGF0aW9uLXRydWNrLWRyaXZlci1zcHJlYWRzLWtpbmRuZXNzLXRocm91Z2hvdXQtbGV4aW5ndG9uL9IBAA?oc=5"" target=""_blank"">CWS Sanitation Truck driver spreads kindness throughout Lexington</a>&nbsp;&nbsp;<font color=""#6f6f6f"">WIS News 10</font>",Google News
